frequency_rank,spanish,part_of_speech,english_meaning,korean,category_code
2472,fumar,v,smoke,담배 피우다,B-2
2473,envuelto,adj,wrapped,싸인,B-2
2474,especializar,v,"specialize, major in",전문화하다,A-2
2475,últimamente,adv,"lately, recently",최근에,B-2
2476,caracterizar,v,"characterize, portray",특징짓다,A-2
2477,paralelo,adj,parallel,평행의,A-1-a
2478,ordinario,adj,"vulgar, ordinary",보통의,A-2
2479,designar,v,designate,지정하다,A-2
2480,bloque,nm,block,블록,A-1-a
2481,cierre,nm,"zipper, closing","폐쇄, 지퍼",B-2
2482,broma,nf,joke,농담,B-2
2483,viernes,nm,Friday,금요일,B-2
2484,creciente,adj,"growing, increasing",증가하는,A-3
2485,tumba,nf,"tomb, grave",무덤,A-1-b
2486,competir,v,compete,경쟁하다,A-2
2487,despacho,nm,"office, study",사무실,B-2
2488,viuda,nf,widow,과부,B-2
2489,pantalón,nm,"pants, trousers",바지,B-2
2490,intercambio,nm,"exchange, interchange",교환,B-2
2491,mancha,nf,"stain, spot",얼룩,B-2
2492,retrato,nm,"portrait, photograph",초상화,A-3
2493,lata,nf,(tin) can,깡통,B-2
2494,combate,nm,"combat, battle, fight",전투,A-2
2495,instancia,nf,instance,사례,A-2
2496,secar,v,dry,말리다,B-2
2497,roca,nf,rock,바위,A-1-b
2498,herramienta,nf,tool,도구,B-2
2499,anónimo,adj,anonymous,익명의,A-2
2500,panorama,nm,"panorama, landscape",파노라마,A-2
2501,trágico,adj,tragic,비극의,A-2
2502,imprimir,v,to print,인쇄하다,A-3
2503,camión,nm,"truck, van, tanker",트럭,B-2
2504,olvido,nm,"forgetfulness, omission",망각,B-2
2505,estrategia,nf,strategy,전략,A-2
2506,muchacha,nf,girl,소녀,B-2
2507,conversar,v,"converse, talk",대화하다,A-2
2508,propaganda,nf,"advertising, propaganda",선전,A-1-a
2509,lamentar,v,to regret,후회하다,A-3
2510,misa,nf,(religious) mass,미사,B-2
2511,alzar,v,"lift, raise",올리다,B-2
2512,inicio,nm,"beginning, start",시작,B-2
2513,fútbol,nm,soccer,축구,A-1-b
2514,esfera,nf,"sphere, globe","구, 구체",A-3
2515,iluminar,v,"illuminate, light up",비추다,A-2
2516,arquitectura,nf,architecture,건축,A-2
2517,especialidad,nf,"specialty, specialized field",전문 분야,A-2
2518,músico,nm/f,musician,음악가,A-2
2519,relativamente,adv,relatively,비교적으로,A-2
2520,eh,interj,eh,"어, 저",B-1
2521,eje,nm,"axis, shaft, crux",축,A-3
2522,guiar,v,"guide, lead, steer",안내하다,A-3
2523,efectuar,v,"carry out, cause to happen",실시하다,B-2
2524,abandono,nm,"abandonment, desertion","포기, 유기",A-2
2525,museo,nm,museum,박물관,A-2
2526,propietario,nm,owner,소유자,A-3
2527,trozo,nm,"piece, chunk",조각,B-2
2528,riguroso,adj,"rigorous, severe",엄격한,A-2
2529,armonía,nf,harmony,조화,A-2
2530,pacto,nm,"pact, agreement",협정,A-1-b
2531,calentar,v,"warm, heat",데우다,B-2
2532,atento,adj,"attentive, polite","주의 깊은, 친절한",A-2
2533,selección,nf,"selection, choice",선택,A-2
2534,proseguir,v,"continue, carry on",계속하다,B-2
2535,incómodo,adj,uncomfortable,불편한,B-2
2536,protagonista,nc,"protagonist, main character",주인공,A-2
2537,ferrocarril,nm,railway,철도,A-3
2538,inocente,adj,"innocent, naïve",순진한,A-2
2539,fatal,adj,"fateful, deadly, awful",치명적인,A-1-a
2540,intimidad,nf,"private life, intimacy",친밀함,A-2
2541,enfrente,adv,in front (of),맞은편에,B-2
2542,nave,nf,"spacecraft, ship","우주선, 배",A-3
2543,oración,nf,prayer,기도,A-3
2544,cansancio,nm,"tiredness, weariness",피로,B-2
2545,noble,adj,noble,고귀한,A-1-a
2546,escondido,adj,hidden,숨겨진,B-2
2547,tejido,nm,"fabric, tissue","직물, 조직",B-2
2548,trampa,nf,"trick, trap; hacer trampa: to cheat","덫, 속임수",A-1-b
2549,hondo,adj,deep,깊은,B-2
2550,descripción,nf,description,묘사,A-2
2551,pecado,nm,sin,죄,B-2
2552,cansar,v,"tire, annoy",지치게 하다,B-2
2553,divertido,adj,"funny, amusing",재미있는,A-3
2554,injusticia,nf,injustice,불의,A-2
2555,heredar,v,to inherit,상속하다,A-3
2556,librar,v,"liberate, set free",해방시키다,A-2
2557,adiós,nm,goodbye,안녕(작별),B-2
2558,brillar,v,"shine, twinkle, be outstanding",빛나다,B-2
2559,rescatar,v,"rescue, save",구조하다,B-2
2560,tabaco,nm,"tobacco, cigarette, cigar",담배,A-1-a
2561,juvenil,adj,"young, juvenile",젊은이의,A-2
2562,ausente,adj,absent,결석한,A-2
2563,suceso,nm,"event, incident",사건,A-3
2564,extrañar,v,"miss, long for",그리워하다,B-2
2565,asustar,v,"frighten, scare",무섭게 하다,B-2
2566,mediado,adj,"mid, middle",중간의,A-3
2567,antecedente,nm,antecedent,전례,A-2
2568,barrera,nf,"barrier, obstacle",장벽,B-2
2569,estético,adj,esthetic,미적인,A-2
2570,anotar,v,"annotate, jot, note",적어두다,A-2
2571,tribunal,nm,court,법원,A-2
2572,bravo,adj,"fierce, angry","용감한, 화난",B-2
2573,invasión,nf,invasion,침략,A-2
2574,septiembre,nm,September,9월,A-3
2575,dependencia,nf,"dependence, dependency",의존,A-2
2576,democracia,nf,democracy,민주주의,A-2
2577,sutil,adj,subtle,미묘한,A-2
2578,maduro,adj,"mature, ripe",성숙한,A-2
2579,mezclado,adj,mixed,섞인,B-2
2580,remontar,v,to go back to (time),거슬러 올라가다,B-2
2581,limitación,nf,limitation,제한,A-2
2582,lindo,adj,"pretty, nice, lovely",예쁜,B-2
2583,invitado,nm,guest,손님,B-2
2584,pescado,nm,fish,생선,B-2
2585,continuamente,adv,continuously,계속해서,A-2
2586,obvio,adj,obvious,명백한,A-2
2587,estrictamente,adv,strictly,엄격하게,A-2
2588,obstáculo,nm,obstacle,장애물,A-2
2589,aspiración,nf,"ambition, aspiration",열망,A-2
2590,simpático,adj,"nice, likeable, friendly",친절한,B-2
2591,corredor,nm/f,"broker, corridor, runner","복도, 주자",B-2
2592,exquisito,adj,"exquisite, superb",정교한,A-2
2593,resumen,nm,summary,요약,B-2
2594,basura,nf,"garbage, rubbish",쓰레기,B-2
2595,escalera,nf,"stairs, ladder",계단,B-2
2596,gravedad,nf,"seriousness, gravity","중력, 심각성",A-2
2597,fundamento,nm,"foundation, ground",기초,A-2
2598,sustancia,nf,"substance, essence",물질,A-2
2599,convocar,v,"convene, summon",소집하다,A-3
2600,harto,adj,fed up with,질린,B-2
2601,derrota,nf,"defeat, loss",패배,B-2
2602,sospecha,nf,suspicion,의심,A-2
2603,exagerado,adj,exaggerated,과장된,A-2
2604,huelga,nf,"strike, protest",파업,B-2
2605,abuso,nm,"abuse, misuse",남용,A-1-b
2606,jueves,nm,Thursday,목요일,B-2
2607,arreglo,nm,arrangement,합의,B-2
2608,sal,nf,salt,소금,A-1-a
2609,dosis,nf,dose,복용량,A-1-b
2610,acento,nm,"accent, stress",악센트,A-2
2611,aviso,nm,warning,경고,B-2
2612,lazo,nm,"bow, knot, tie, lasso","리본, 매듭, 유대",B-2
2613,conservador,adj,conservative,보수적인,A-2
2614,entorno,nm,"environment, surroundings",환경,B-2
2615,nieto,nm,grandchild,손자,B-2
2616,príncipe,nm,prince,왕자,A-2
2617,imprescindible,adj,"essential, indispensable",필수적인,B-2
2618,mediodía,nm,"noon, midday",정오,B-2
2619,gota,nf,drop,방울,B-2
2620,cajón,nm,drawer,서랍,B-2
2621,generalizar,v,"generalize, popularize",일반화하다,A-2
2622,señorita,nf,young woman,아가씨,B-2
2623,preferencia,nf,preference,선호,A-2
2624,habitar,v,to inhabit,거주하다,A-2
2625,pozo,nm,"well, shaft",우물,B-2
2626,rumor,nm,"rumor, murmur",소문,A-1-a
2627,armar,v,"arm, put together","무장하다, 조립하다",B-2
2628,concurso,nm,"competition, gathering",대회,B-2
2629,tesoro,nm,"treasure, thesaurus",보물,B-2
2630,presupuesto,nm,budget,예산,B-2
2631,rural,adj,"rural, country",시골의,A-1-a
2632,vigilancia,nf,"surveillance, vigilance",감시,A-2
2633,supremo,adj,supreme,최고의,A-2
2634,confuso,adj,"confused, mixed up",혼란스러운,A-2
2635,presa,nf,"dam, prisoner (f)","댐, 포로",B-2
2636,estómago,nm,stomach,"위, 복부",B-2
2637,anular,v,"annul, cancel",취소하다,B-2
2638,decisivo,adj,"decisive, conclusive",결정적인,A-2
2639,bola,nf,"ball, sphere",공,B-2
2640,determinación,nf,determination,결심,A-2
2641,reforma,nf,"reform, improvement",개혁,A-2
2642,bruto,adj,"brutal, coarse, clumsy","거친, 조잡한",A-1-b
2643,verso,nm,"verse, poem","운문, 시",A-1-b
2644,requisito,nm,"prerequisite, requirement",필요조건,A-2
2645,adolescente,nc,adolescent,청소년,A-2
2646,sentimental,adj,sentimental,감상적인,A-1-a
2647,herido,adj,"wounded, injured",다친,B-2
2648,kilo,nm,kilogram,킬로그램,A-1-a
2649,alargar,v,"enlarge, elongate",길게 하다,B-2
2650,conquista,nf,conquest,정복,A-3
2651,luminoso,adj,"bright, luminous",빛나는,A-2
2652,particularmente,adv,"particularly, personally",특히,A-2
2653,filósofo,nm,philosopher,철학자,A-2
2654,genio,nm,"genius, disposition",천재,A-3
2655,sucesión,nf,"succession, series",연속,A-2
2656,componente,nm,"component, ingredient",구성요소,A-2
2657,transparente,adj,"transparent, clear",투명한,A-2
2658,sufrimiento,nm,suffering,고통,B-2
2659,aparente,adj,apparent,외관상의,A-2
2660,entidad,nf,entity,실체,A-2
2661,saludo,nm,greeting,인사,B-2
2662,estimular,v,"stimulate, encourage",자극하다,A-2
2663,certeza,nf,certainty,확실성,B-2
2664,depósito,nm,"deposit, sediment",보증금,A-2
2665,húmedo,adj,"humid, damp",습한,B-2
2666,pasillo,nm,"hall, corridor",복도,B-2
2667,pisar,v,step on,밟다,B-2
2668,solidaridad,nf,"solidarity, togetherness",연대,A-2
2669,papa,nmf,"Pope (m), potato (f)","교황, 감자",B-2
2670,geografía,nf,geography,지리학,A-2
2671,leve,adj,"slight, trifling, light",가벼운,B-2
2672,juguete,nm,toy,장난감,B-2
2673,violar,v,"violate, trespass, rape",위반하다,A-2
2674,chiste,nm,"joke, funny story",농담,B-2
2675,aprendizaje,nm,"learning, apprenticeship",학습,B-2
2676,esposo,nm,"husband, spouse",남편,B-2
2677,boda,nf,"marriage, wedding",결혼식,B-2
2678,realista,adj,realistic,현실적인,A-2
2679,fresco,nm,"freshness, coolness",신선함,B-2
2680,lago,nm,lake,호수,B-2
2681,enriquecer,v,to enrich,풍요롭게 하다,B-2
2682,prestado,adj,"borrowed, lent",빌린,B-2
2683,orientación,nf,"orientation, direction",방향,A-2
2684,madurez,nf,"maturity, ripeness",성숙,B-2
2685,adulto,adj,"adult, grown-up",성인의,A-1-a
2686,municipal,adj,"municipal, town",시의,A-2
2687,demostración,nf,demonstration,증명,A-2
2688,fundamentalmente,adv,"fundamentally, basically",근본적으로,A-2
2689,alegrar,v,be/make happy,기쁘게 하다,B-2
2690,transportar,v,"transport, carry",수송하다,A-2
2691,cumplimiento,nm,"fulfillment, compliment",이행,B-2
2692,respaldo,nm,"support, backing, back",지지,B-2
2693,superficial,adj,superficial,피상적인,A-2
2694,dieciocho,num,eighteen,열여덟,B-2
2695,incendio,nm,"fire, conflagration",화재,B-2
2696,dorado,adj,"golden, gold-plated",금빛의,B-2
2697,triunfar,v,to triumph,승리하다,B-2
2698,joya,nf,"jewel, treasure",보석,B-2
2699,favorito,adj,favorite,가장 좋아하는,A-2
2700,cementerio,nm,"cemetery, graveyard",묘지,A-3
2701,escolar,adj,"school, scholastic",학교의,A-3
2702,publicación,nf,publication,출판,A-2
2703,variación,nf,variation,변화,A-2
2704,cálido,adj,warm,따뜻한,B-2
2705,inconsciente,adj,"unconscious, thoughtless",무의식의,B-2
2706,promoción,nf,promotion,승진,A-2
2707,enseguida,adv,"immediately, at once",곧바로,B-2
2708,mágico,adj,"magic, magical",마법의,A-2
2709,sentencia,nf,"(legal) sentence, judgment",판결,A-2
2710,amargo,adj,"bitter, sour, painful",쓴,B-2
2711,resolución,nf,resolution,해결,A-2
2712,afortunadamente,adv,"luckily, fortunately",다행히도,A-2
2713,coincidencia,nf,coincidence,우연의 일치,A-2
2714,estímulo,nm,"stimulus, encouragement",자극,A-2
2715,acoger,v,"welcome, accept",맞이하다,B-2
2716,filosófico,adj,philosophical,철학적인,A-2
2717,sembrar,v,"sow, plant",씨를 뿌리다,B-2
2718,acentuar,v,"accent, stress",강조하다,A-2
2719,anteriormente,adv,previously,이전에,A-2
2720,marino,adj,"marine, naval",바다의,A-2
2721,barra,nf,"bar, rod, rail",막대,A-1-b
2722,entretener,v,"entertain, amuse",즐겁게 하다,B-2
2723,desviar,v,"deviate, divert, change",빗나가게 하다,B-2
2724,retroceder,v,go back,후퇴하다,B-2
2725,culto,adj,"cultured, educated",교양 있는,A-1-b
2726,novia,nf,"girlfriend, bride",여자친구,B-2
2727,piano,nm,piano,피아노,A-1-a
2728,pretensión,nf,"pretension, claim",주장,A-2
2729,habla,nf (el),"speech, talking",말씨,A-3
2730,novio,nm,"boyfriend, groom",남자친구,B-2
2731,sonreír,v,to smile,미소짓다,B-2
2732,espectador,nm,"spectator, onlooker",관객,A-2
2733,relatar,v,"tell, narrate",이야기하다,A-3
2734,pensado,adj,"thought-out, designed",생각된,B-2
2735,bota,nf,"boot, wineskin",부츠,B-2
2736,oh,interj,oh,오!,B-1
2737,pretexto,nm,"pretext, excuse",구실,A-3
2738,horrible,adj,horrible,끔찍한,A-1-a
2739,fiebre,nf,"fever, excitement",열,A-3
2740,difundir,v,spread (out),퍼뜨리다,A-2
2741,lucir,v,"show (off), shine",빛나다,B-2
2742,síntesis,nf,synthesis,통합,A-2
2743,este,nm,East,동쪽,B-2
2744,nervio,nm,nerve,신경,A-1-b
2745,científico,nm/f,scientist,과학자,A-2
2746,peculiar,adj,peculiar,독특한,A-2
2747,ejemplar,adj,"exemplary, model",모범적인,A-2
2748,grano,nm,"grain, kernel","곡물, 낟알",A-1-b
2749,recientemente,adv,recently,최근에,A-2
2750,reservar,v,"reserve, book",예약하다,A-2
2751,asistencia,nf,"attendance, assistance",참석,A-2
2752,sacrificar,v,to sacrifice,희생하다,A-2
2753,puramente,adv,"purely, simply",순전히,A-2
2754,sonrisa,nf,smile,미소,B-2
2755,exagerar,v,to exaggerate,과장하다,A-2
2756,león,nm,lion,사자,B-2
2757,bárbaro,adj,"savage, horrible","야만적인, 끔찍한",A-2
2758,aceptación,nf,"acceptance, approval",수락,A-2
2759,labio,nm,lip,입술,B-2
2760,visitante,nc,visitor,방문객,B-2
2761,autónomo,adj,autonomous,자치의,A-2
2762,sonoro,adj,"loud, resounding",울리는,A-3
2763,traslado,nm,transfer,이동,B-2
2764,residir,v,"reside, live (in)",거주하다,A-2
2765,tentación,nf,temptation,유혹,A-2
2766,porvenir,nm,"future, time to come",미래,B-2
2767,promover,v,to promote,촉진하다,A-2
2768,atracción,nf,attraction,매력,A-2
2769,jurídico,adj,"legal, juridical",법적인,A-2
2770,reparar,v,"repair, restore",수리하다,A-2
2771,ilustre,adj,"renowned, illustrious",저명한,A-2
2772,corona,nf,crown,왕관,B-2
2773,administrar,v,"administer, manage",관리하다,A-2
2774,docena,nf,dozen,"12개, 다스",B-2
2775,ahorrar,v,"save (money, time)",저축하다,B-2
2776,perfección,nf,perfection,완벽,A-2
2777,humedad,nf,humidity,습도,A-2
2778,cosecha,nf,"harvest, crop",수확,B-2
2779,enterrar,v,to bury,묻다,B-2
2780,desesperación,nf,"desperation, exasperation",절망,A-2
2781,curva,nf,curve,곡선,A-1-a
2782,contraer,v,"contract, shrink, abbreviate","수축하다, 계약하다",A-2
2783,blando,adj,"soft, limp, gentle",부드러운,B-2
2784,estable,adj,"stable, steady",안정된,A-2
2785,ciertamente,adv,"certainly, indeed",확실히,A-3
2786,dormido,adj,"asleep, sleeping",잠든,B-2
2787,amo,nm,"master, boss (m)",주인,B-2
2788,reflexionar,v,"reflect, consider on",숙고하다,A-2
2789,humo,nm,smoke,연기,B-2
2790,realización,nf,"fulfillment, realization",실현,A-2
2791,cuartel,nm,"quarters, barracks",병영,B-2
2792,tránsito,nm,"traffic, transit",교통,A-2
2793,dieciséis,num,sixteen,열여섯,B-2
2794,énfasis,nm,emphasis,강조,A-2
2795,tímido,adj,"timid, shy, half-hearted",소심한,A-2
2796,empresario,nm,"manager, entrepreneur",사업가,B-2
2797,tuyo,pron,yours (sg/+fam),너의 것,B-1
2798,saco,nm,"sack, bag, plunder",자루,A-1-b
2799,vasto,adj,"vast, immense, huge",광대한,A-1-b
2800,cruz,nf,"cross, burden",십자가,A-1-b
2801,frustrado,adj,frustrated,좌절한,A-2
2802,pausa,nf,pause,휴식,A-1-b
2803,comprometido,adj,"committed, engaged",약속된,B-2
2804,libremente,adv,freely,자유롭게,A-3
2805,vicio,nm,"vice, bad habit, defect","악, 악습",A-1-b
2806,impuesto,nm,tax,세금,B-2
2807,consiguiente,adj,consequent; por consiguiente: consequently,그 결과의,A-2
2808,arquitecto,nm/f,architect,건축가,A-2
2809,cruce,nm,"crossing, intersection",교차로,B-2
2810,centrar,v,"center, focus, base (on)",중심에 두다,A-3
2811,convivencia,nf,"coexistence, living together",동거,B-2
2812,cable,nm,"cable, wiring",케이블,A-1-b
2813,aburrido,adj,"boring, bored",지루한,B-2
2814,bondad,nf,"goodness, kindness",선량함,B-2
2815,experimento,nm,experiment,실험,A-1-b
2816,recto,adj,"right, straight, honest","곧은, 올바른",A-3
2817,crónica,nf,"account, chronicle",연대기,A-2
2818,seguida,adv,"en seguida: right away, at once",곧바로,B-2
2819,originar,v,"give rise (to), cause",야기하다,A-2
2820,socialista,adj,socialist,사회주의의,A-2
2821,ahogar,v,"drown, choke, flood",익사시키다,B-2
2822,espléndido,adj,"splendid, generous",훌륭한,A-2
2823,esforzar,v,"make an effort, exert oneself",노력하다,B-2
2824,dictadura,nf,dictatorship,독재,A-2
2825,eficacia,nf,"efficiency, effectiveness",효율,A-3
2826,detectar,v,detect,탐지하다,A-2
2827,vapor,nm,"vapor, steam",증기,A-1-a
2828,bebida,nf,"drink, beverage",음료,B-2
2829,autorizar,v,"authorize, legalize",허가하다,A-2
2830,charla,nf,"talk, chat",수다,B-2
2831,gestión,nf,"management, step, negotiation",관리,B-2
2832,afrontar,v,"face, confront",맞서다,B-2
2833,existente,adj,existing,기존의,A-2
2834,cartera,nf,"wallet, satchel",지갑,B-2
2835,inclinado,adj,"inclined, slanting",경사진,A-2
2836,restar,v,"subtract, minimize",빼다,A-3
2837,circulación,nf,"circulation, traffic",순환,A-2
2838,denuncia,nf,accusation,고발,A-3
2839,concretar,v,"materialize, fulfill",구체화하다,A-2
2840,picar,v,"bite, sting, itch",찌르다,B-2
2841,tormenta,nf,storm,폭풍,A-3
2842,metálico,adj,metallic,금속의,A-2
2843,foco,nm,focus,초점,A-2
2844,residencia,nf,residence,거주지,A-2
2845,espectacular,adj,spectacular,장관의,A-2
2846,jurar,v,"swear, take an oath",맹세하다,B-2
2847,rezar,v,"pray, recite",기도하다,B-2
2848,cuero,nm,"leather, skin",가죽,B-2
2849,misterioso,adj,mysterious,신비로운,A-2
2850,hierba,nf,"herb, grass, weed",풀,A-1-a
2851,obrero,adj,working class,노동자의,B-2
2852,administrativo,adj,administrative,행정의,A-2
2853,manzana,nf,"apple, (city) block","사과, 구역",B-2
2854,singular,adj,"single, singular",특이한,A-1-a
2855,pedazo,nm,"piece, bit",조각,B-2
2856,sabiduría,nf,"wisdom, knowledge",지혜,B-2
2857,inducir,v,lead to,유도하다,A-2
2858,cigarrillo,nm,cigarette,담배,B-2
2859,encantar,v,be very pleasing to,매혹하다,B-2
2860,crudo,adj,"raw, crude, natural",날것의,A-1-b
2861,agotado,adj,"tired, used up, sold out",지친,B-2
2862,deportivo,adj,"sports, sporty",스포츠의,A-2
2863,magnitud,nf,"magnitude, extent",규모,A-2
2864,químico,adj,chemical,화학의,A-2
2865,botón,nm,button,버튼,B-2
2866,teórico,adj,theoretical,이론적인,A-2
2867,igualdad,nf,equality,평등,A-2
2868,privar,v,deprive (of),박탈하다,B-2
2869,deducir,v,"deduce, infer",추론하다,A-2
2870,redactar,v,"edit, write, compose",작성하다,B-2
2871,noción,nf,"notion, idea",개념,A-2
2872,planear,v,plan,계획하다,B-2
2873,abrazar,v,"hug, embrace",껴안다,B-2
2874,tolerar,v,"tolerate, put up with",참다,A-2
2875,semilla,nf,seed,씨앗,B-2
2876,avenida,nf,avenue,대로,B-2
2877,descartar,v,"discard, reject, rule out",버리다,B-2
2878,diablo,nm,devil,악마,A-3
2879,sujetar,v,"fasten, attach, hold",고정하다,B-2
2880,hueco,nm,"hole, cavity",구멍,B-2
2881,colaborador,nm,collaborator,협력자,A-2
2882,capricho,nm,"caprice, whim",변덕,B-2
2883,ciudadano,adj,"community, citizen",시민의,B-2
2884,prudente,adj,"sensible, prudent",신중한,A-2
2885,guitarra,nf,guitar,기타,A-1-a
2886,agencia,nf,"agency, branch","대리점, 기관",A-2
2887,rabia,nf,rage,분노,B-2
2888,telefónico,adj,telephone,전화의,A-2
2889,monumento,nm,monument,기념물,A-2
2890,racional,adj,rational,합리적인,A-2
2891,previamente,adv,previously,이전에,A-3
2892,trazar,v,"draw, trace",그리다,B-2
2893,correspondencia,nf,"correspondence, connection",서신,A-2
2894,barro,nm,"clay, mud",진흙,B-2
2895,fuga,nf,"flight, escape",도주,B-2
2896,presionar,v,"press, pressure",압력을 가하다,A-2
2897,identificación,nf,identification,신분 확인,A-2
2898,contexto,nm,context,문맥,A-1-a
2899,sombrero,nm,"hat, sombrero",모자,B-2
2900,reiterar,v,"reiterate, repeat",반복하다,A-2
2901,ayudante,nc,"helper, assistant",조수,B-2
2902,indiferente,adj,indifferent,무관심한,A-2
2903,maniobra,nf,"maneuver, operation",조작,B-2
2904,inesperado,adj,"unexpected, unforeseen",예상치 못한,B-2
2905,distraer,v,distract,주의를 돌리다,A-2
2906,prejuicio,nm,prejudice,편견,A-2
2907,tropezar,v,"trip, stumble",발을 헛디디다,B-2
2908,recomendación,nf,recommendation,추천,A-2
2909,francamente,adv,"frankly, openly",솔직히,B-2
2910,diseñar,v,"design, develop",디자인하다,A-2
2911,proveer,v,provide,제공하다,A-2
2912,seleccionar,v,select,선택하다,A-2
2913,convivir,v,coexist,공존하다,B-2
2914,instinto,nm,instinct,본능,A-2
2915,sincero,adj,sincere,진실한,A-2
2916,progresar,v,to progress,진보하다,A-2
2917,ideológico,adj,ideological,이념적인,A-2
2918,precaución,nf,"caution, forethought",조심,A-2
2919,robo,nm,"theft, robbery",도둑질,B-2
2920,cabello,nm,hair,머리카락,B-2
2921,utilidad,nf,"usefulness, utility",유용성,A-2
2922,queja,nf,complaint,불평,B-2
2923,abundar,v,be plentiful,풍부하다,A-3
2924,celo,nm,"jealousy, zeal","질투, 열정",A-3
2925,publicidad,nf,"advertising, publicity",광고,A-2
2926,ligado,adj,"linked, joined",연결된,B-2
2927,índole,nf,"nature, temperament",성질,B-2
2928,asimilar,v,assimilate,동화하다,A-2
2929,prolongado,adj,"prolonged, lengthy",장기간의,A-2
2930,choque,nm,"crash, collision",충돌,B-2
2931,tecnología,nf,technology,기술,A-2
2932,tubo,nm,"tube, pipe","관, 튜브",A-1-b
2933,sordo,adj,"deaf, dull","귀가 먹은, 둔한",B-2
2934,admirable,adj,admirable,훌륭한,A-2
2935,mercancía,nf,"goods, merchandise",상품,A-3
2936,tronco,nm,"trunk, torso","줄기, 몸통",B-2
2937,culto,nm,"worship, cult","예배, 숭배",A-2
2938,palma,nf,"palm tree, palm",야자수,A-1-a
2939,prenda,nf,piece of clothing,의복,B-2
2940,coro,nm,"choir, chorus",합창단,B-2
2941,tejer,v,"sew, weave",짜다,B-2
2942,túnel,nm,tunnel,터널,A-1-b
2943,cercanía,nf,"nearness, proximity",가까움,B-2
2944,proclamar,v,proclaim,선언하다,A-2
2945,cuchillo,nm,knife,칼,B-2
2946,desprecio,nm,"contempt, disdain",경멸,B-2
2947,plástico,nm,plastic,플라스틱,A-2
2948,complejo,nm,complex,복합체,A-1-b
2949,plantar,v,plant,심다,A-1-b
2950,naranja,nf,orange (fruit),오렌지,B-2
2951,derrotar,v,"defeat, beat",패배시키다,B-2
2952,frenar,v,"brake, restrain",브레이크를 밟다,B-2
2953,voluntario,adj,"voluntary, volunteer",자발적인,A-2
2954,adivinar,v,"guess, solve",알아맞히다,B-2
2955,cuota,nf,"quota, share, dues",할당량,B-2
2956,mosca,nf,fly (insect),파리,B-2
2957,judicial,adj,judicial,사법의,A-2
2958,pescar,v,to fish,낚시하다,B-2
2959,doctrina,nf,"doctrine, teachings",교리,A-2
2960,reservado,adj,"reserved, booked",예약된,A-2
2961,laguna,nf,lagoon,석호,B-2
2962,distinción,nf,distinction,구별,A-2
2963,tribu,nf,tribe,부족,A-1-b
2964,refugio,nm,"shelter, refuge",피난처,A-3
2965,tragar,v,to swallow,삼키다,B-2
2966,legítimo,adj,legitimate,합법적인,A-2
2967,flotar,v,"float, flutter",뜨다,B-2
2968,convencional,adj,conventional,관습적인,A-2
2969,sacudir,v,"shake, jolt",흔들다,B-2
2970,gigantesco,adj,"giant, gigantic",거대한,A-2
2971,cena,nf,dinner,저녁식사,B-2
2972,incertidumbre,nf,uncertainty,불확실성,B-2
2973,tierno,adj,"tender, soft",부드러운,B-2
2974,ligeramente,adv,"slightly, lightly",약간,B-2
2975,aéreo,adj,"aerial, air",항공의,A-2
2976,suprimir,v,"suppress, delete",삭제하다,A-2
2977,ahorro,nm,"saving, thrift",저축,B-2
2978,sobrar,v,"be too much, left over",남다,B-2
2979,brotar,v,to sprout,싹트다,B-2
2980,prisión,nf,"prison, imprisonment",감옥,A-2
2981,investigador,nm/f,"researcher, investigator",연구원,A-2
2982,técnico,nm/f,technician,기술자,A-2
2983,paraíso,nm,paradise,낙원,A-2
2984,automático,adj,automatic,자동의,A-2
2985,postre,nmf,dessert; a la postre: in the end,디저트,B-2
2986,inquieto,adj,"restless, anxious",불안한,B-2
2987,helado,adj,"iced, freezing, icy",얼은,B-2
2988,plástico,adj,plastic,플라스틱의,A-2
2989,alimentación,nf,"feeding, food",음식물,A-3
2990,miel,nf,honey,꿀,B-2
2991,vulgar,adj,"vulgar, common, banal",저속한,A-1-a
2992,desafío,nm,"challenge, defiance",도전,A-3
2993,aeropuerto,nm,airport,공항,A-2
2994,valorar,v,to value,가치를 매기다,B-2
2995,diferenciar,v,"differentiate, distinguish",구별하다,A-2
2996,abrigo,nm,"overcoat, shelter",외투,B-2
2997,hábil,adj,"skillful, clever",능숙한,B-2
2998,veinticuatro,num,twenty-four,스물넷,B-2
2999,sello,nm,"stamp, seal","우표, 도장",A-3
3000,campana,nf,bell,종,B-2
3001,destacado,adj,"outstanding, leading",눈에 띄는,B-2
3002,encendido,adj,"turned on, burning","켜진, 불타는",B-2
3003,incidente,nm,incident,사건,A-2
3004,fragmento,nm,"fragment, passage",파편,A-2
3005,plano,adj,"flat, plain, even, level",평평한,B-2
3006,compensar,v,"compensate, make up for",보상하다,A-2
3007,obligatorio,adj,"obligatory, compulsory",의무적인,A-2
3008,asignar,v,"assign, allocate",할당하다,A-3
3009,contemporáneo,adj,contemporary,동시대의,A-2
3010,suscitar,v,"arouse, provoke",불러일으키다,B-2
3011,finalizar,v,"end, finalize",끝내다,A-2
3012,reforzar,v,"reinforce, strengthen",강화하다,A-3
3013,mina,nf,mine,광산,A-1-b
3014,restaurante,nm,restaurant,레스토랑,A-2
3015,porcentaje,nm,percentage,퍼센트,A-3
