순위,스페인어,품사,의미,분류코드
2575,dependencia,nf,"dependence, dependency",A-2
2576,democracia,nf,democracy,A-2
2577,sutil,adj,subtle,A-2
2578,maduro,adj,"mature, ripe",A-2
2579,mezclado,adj,mixed,B-2
2580,remontar,v,to go back to (time),B-2
2581,limitación,nf,limitation,A-2
2582,lindo,adj,"pretty, nice, lovely",B-2
2583,invitado,nm,guest,B-2
2584,pescado,nm,fish,B-2
2585,continuamente,adv,continuously,A-2
2586,obvio,adj,obvious,A-2
2587,estrictamente,adv,strictly,A-2
2588,obstáculo,nm,obstacle,A-2
2589,aspiración,nf,"ambition, aspiration",A-2
2590,simpático,adj,"nice, likeable, friendly",B-2
2591,corredor,nm/f,"broker, corridor, runner",B-2
2592,exquisito,adj,"exquisite, superb",A-2
2593,resumen,nm,summary,B-2
2594,basura,nf,"garbage, rubbish",B-2
2595,escalera,nf,"stairs, ladder",B-2
2596,gravedad,nf,"seriousness, gravity",A-2
2597,fundamento,nm,"foundation, ground",A-2
2598,sustancia,nf,"substance, essence",A-2
2599,convocar,v,"convene, summon",B-2
2600,harto,adj,fed up with,B-2
2601,derrota,nf,"defeat, loss",B-2
2602,sospecha,nf,suspicion,A-2
2603,exagerado,adj,exaggerated,A-2
2604,huelga,nf,"strike, protest",B-2
2605,abuso,nm,"abuse, misuse",A-1-b
2606,jueves,nm,Thursday,B-2
2607,arreglo,nm,arrangement,B-2
2608,sal,nf,salt,A-1-a
2609,dosis,nf,dose,A-1-b
2610,acento,nm,"accent, stress",A-2
2611,aviso,nm,warning,B-2
2612,lazo,nm,"bow, knot, tie, lasso",B-2
2613,conservador,adj,conservative,A-2
2614,entorno,nm,"environment, surroundings",B-2
2615,nieto,nm,grandchild,B-2
2616,príncipe,nm,prince,A-2
2617,imprescindible,adj,"essential, indispensable",B-2
2618,mediodía,nm,"noon, midday",B-2
2619,gota,nf,drop,B-2
2620,cajón,nm,drawer,B-2
2621,generalizar,v,"generalize, popularize",A-2
2622,señorita,nf,young woman,B-2
2623,preferencia,nf,preference,A-2
2624,habitar,v,to inhabit,A-2
2625,pozo,nm,"well, shaft",B-2
2626,rumor,nm,"rumor, murmur",A-1-a
2627,armar,v,"arm, put together",B-2
2628,concurso,nm,"competition, gathering",B-2
2629,tesoro,nm,"treasure, thesaurus",B-2
2630,presupuesto,nm,budget,B-2
2631,rural,adj,"rural, country",A-1-a
2632,vigilancia,nf,"surveillance, vigilance",A-2
2633,supremo,adj,supreme,A-2
2634,confuso,adj,"confused, mixed up",A-2
2635,presa,nf,"dam, prisoner (f)",B-2
2636,estómago,nm,stomach,B-2
2637,anular,v,"annul, cancel",B-2
2638,decisivo,adj,"decisive, conclusive",A-2
2639,bola,nf,"ball, sphere",B-2
2640,determinación,nf,determination,A-2
2641,reforma,nf,"reform, improvement",A-2
2642,bruto,adj,"brutal, coarse, clumsy",A-1-b
2643,verso,nm,"verse, poem",A-1-b
2644,requisito,nm,"prerequisite, requirement",A-2
2645,adolescente,nc,adolescent,A-2
2646,sentimental,adj,sentimental,A-1-a
2647,herido,adj,"wounded, injured",B-2
2648,kilo,nm,kilogram,A-1-a
2649,alargar,v,"enlarge, elongate",B-2
2650,conquista,nf,conquest,A-3
2651,luminoso,adj,"bright, luminous",A-2
2652,particularmente,adv,"particularly, personally",A-2
2653,filósofo,nm,philosopher,A-2
2654,genio,nm,"genius, disposition",A-3
2655,sucesión,nf,"succession, series",A-2
2656,componente,nm,"component, ingredient",A-2
2657,transparente,adj,"transparent, clear",A-2
2658,sufrimiento,nm,suffering,B-2
2659,aparente,adj,apparent,A-2
2660,entidad,nf,entity,A-2
2661,saludo,nm,greeting,B-2
2662,estimular,v,"stimulate, encourage",A-2
2663,certeza,nf,certainty,B-2
2664,depósito,nm,"deposit, sediment",A-2
2665,húmedo,adj,"humid, damp",B-2
2666,pasillo,nm,"hall, corridor",B-2
2667,pisar,v,step on,B-2
2668,solidaridad,nf,"solidarity, togetherness",A-2
2669,papa,nmf,"Pope (m), potato (f)",B-2
2670,geografía,nf,geography,A-2
2671,leve,adj,"slight, trifling, light",B-2
2672,juguete,nm,toy,B-2
2673,violar,v,"violate, trespass, rape",A-2
2674,chiste,nm,"joke, funny story",B-2
2675,aprendizaje,nm,"learning, apprenticeship",B-2
2676,esposo,nm,"husband, spouse",B-2
2677,boda,nf,"marriage, wedding",B-2
2678,realista,adj,realistic,A-2
2679,fresco,nm,"freshness, coolness",B-2
2680,lago,nm,lake,B-2
2681,enriquecer,v,to enrich,B-2
2682,prestado,adj,"borrowed, lent",B-2
2683,orientación,nf,"orientation, direction",A-2
2684,madurez,nf,"maturity, ripeness",B-2
2685,adulto,adj,"adult, grown-up",A-1-a
2686,municipal,adj,"municipal, town",A-2
2687,demostración,nf,demonstration,A-2
2688,fundamentalmente,adv,"fundamentally, basically",A-2
2689,alegrar,v,be/make happy,B-2
2690,transportar,v,"transport, carry",A-2
2691,cumplimiento,nm,"fulfillment, compliment",B-2
2692,respaldo,nm,"support, backing, back",B-2
2693,superficial,adj,superficial,A-2
2694,dieciocho,num,eighteen,B-2
2695,incendio,nm,"fire, conflagration",B-2
2696,dorado,adj,"golden, gold-plated",B-2
2697,triunfar,v,to triumph,B-2
2698,joya,nf,"jewel, treasure",B-2
2699,favorito,adj,favorite,A-2
2700,cementerio,nm,"cemetery, graveyard",A-3
2701,escolar,adj,"school, scholastic",A-3
2702,publicación,nf,publication,A-2
2703,variación,nf,variation,A-2
2704,cálido,adj,warm,B-2
2705,inconsciente,adj,"unconscious, thoughtless",B-2
2706,promoción,nf,promotion,A-2
2707,enseguida,adv,"immediately, at once",B-2
2708,mágico,adj,"magic, magical",A-2
2709,sentencia,nf,"(legal) sentence, judgment",A-2
2710,amargo,adj,"bitter, sour, painful",B-2
2711,resolución,nf,resolution,A-2
2712,afortunadamente,adv,"luckily, fortunately",A-2
2713,coincidencia,nf,coincidence,A-2
2714,estímulo,nm,"stimulus, encouragement",A-2
2715,acoger,v,"welcome, accept",B-2
2716,filosófico,adj,philosophical,A-2
2717,sembrar,v,"sow, plant",B-2
2718,acentuar,v,"accent, stress",A-2
2719,anteriormente,adv,previously,A-2
2720,marino,adj,"marine, naval",A-2
2721,barra,nf,"bar, rod, rail",A-1-b
2722,entretener,v,"entertain, amuse",B-2
2723,desviar,v,"deviate, divert, change",B-2
2724,retroceder,v,go back,B-2
2725,culto,adj,"cultured, educated",A-2
2726,novia,nf,"girlfriend, bride",B-2
2727,piano,nm,piano,A-1-a
2728,pretensión,nf,"pretension, claim",A-2
2729,habla,nf (el),"speech, talking",B-2
2730,novio,nm,"boyfriend, groom",B-2
2731,sonreír,v,to smile,B-2
2732,espectador,nm,"spectator, onlooker",A-2
2733,relatar,v,"tell, narrate",A-3
2734,pensado,adj,"thought-out, designed",B-2
2735,bota,nf,"boot, wineskin",B-2
2736,oh,interj,oh,B-1
2737,pretexto,nm,"pretext, excuse",A-3
2738,horrible,adj,horrible,A-1-a
2739,fiebre,nf,"fever, excitement",A-3
2740,difundir,v,spread (out),A-2
2741,lucir,v,"show (off), shine",B-2
2742,síntesis,nf,synthesis,A-2
2743,este,nm,East,B-2
2744,nervio,nm,nerve,A-1-b
2745,científico,nm/f,scientist,A-2
2746,peculiar,adj,peculiar,A-2
2747,ejemplar,adj,"exemplary, model",A-2
2748,grano,nm,"grain, kernel",A-1-b
2749,recientemente,adv,recently,A-2
2750,reservar,v,"reserve, book",A-2
2751,asistencia,nf,"attendance, assistance",A-2
2752,sacrificar,v,to sacrifice,A-2
2753,puramente,adv,"purely, simply",A-2
2754,sonrisa,nf,smile,B-2
2755,exagerar,v,to exaggerate,A-2
2756,león,nm,lion,B-2
2757,bárbaro,adj,"savage, horrible",A-2
2558,aceptación,nf,"acceptance, approval",A-2
2759,labio,nm,lip,B-2
2760,visitante,nc,visitor,B-2
2761,autónomo,adj,autonomous,A-2
2762,sonoro,adj,"loud, resounding",A-3
2763,traslado,nm,transfer,B-2
2764,residir,v,"reside, live (in)",A-2
2765,tentación,nf,temptation,A-2
2766,porvenir,nm,"future, time to come",B-2
2767,promover,v,to promote,A-2
2768,atracción,nf,attraction,A-2
2769,jurídico,adj,"legal, juridical",A-2
2770,reparar,v,"repair, restore",A-2
2771,ilustre,adj,"renowned, illustrious",A-2
2772,corona,nf,crown,B-2
2773,administrar,v,"administer, manage",A-2
2774,docena,nf,dozen,B-2
2775,ahorrar,v,"save (money, time)",B-2
2776,perfección,nf,perfection,A-2
2777,humedad,nf,humidity,A-2
2778,cosecha,nf,"harvest, crop",B-2
2779,enterrar,v,to bury,B-2
2780,desesperación,nf,"desperation, exasperation",A-2
2781,curva,nf,curve,A-1-a
2782,contraer,v,"contract, shrink, abbreviate",A-2
2783,blando,adj,"soft, limp, gentle",B-2
2784,estable,adj,"stable, steady",A-2
2785,ciertamente,adv,"certainly, indeed",A-3
2786,dormido,adj,"asleep, sleeping",B-2
2787,amo,nm,"master, boss (m)",B-2
2788,reflexionar,v,"reflect, consider on",A-2
2789,humo,nm,smoke,B-2
2790,realización,nf,"fulfillment, realization",A-2
2791,cuartel,nm,"quarters, barracks",B-2
2792,tránsito,nm,"traffic, transit",A-2
2793,dieciséis,num,sixteen,B-2
2794,énfasis,nm,emphasis,A-2
2795,tímido,adj,"timid, shy, half-hearted",A-2
2796,empresario,nm,"manager, entrepreneur",B-2
2797,tuyo,pron,yours (sg/+fam),B-1
2798,saco,nm,"sack, bag, plunder",A-1-b
2799,vasto,adj,"vast, immense, huge",A-1-b
2800,cruz,nf,"cross, burden",A-1-b
2801,frustrado,adj,frustrated,A-2
2802,pausa,nf,pause,A-1-b
2803,comprometido,adj,"committed, engaged",B-2
2804,libremente,adv,freely,A-3
2805,vicio,nm,"vice, bad habit, defect",A-1-b
2806,impuesto,nm,tax,B-2
2807,consiguiente,adj,consequent; por consiguiente: consequently,A-2
2808,arquitecto,nm/f,architect,A-2
2809,cruce,nm,"crossing, intersection",B-2
2810,centrar,v,"center, focus, base (on)",A-3
2811,convivencia,nf,"coexistence, living together",B-2
2812,cable,nm,"cable, wiring",A-1-b
2813,aburrido,adj,"boring, bored",B-2
2814,bondad,nf,"goodness, kindness",B-2
2815,experimento,nm,experiment,A-1-b
2816,recto,adj,"right, straight, honest",A-3
2817,crónica,nf,"account, chronicle",A-2
2818,seguida,adv,"en seguida: right away, at once",B-2
2819,originar,v,"give rise (to), cause",A-2
2820,socialista,adj,socialist,A-2
2821,ahogar,v,"drown, choke, flood",B-2
2822,espléndido,adj,"splendid, generous",A-2
2823,esforzar,v,"make an effort, exert oneself",B-2
2824,dictadura,nf,dictatorship,A-2
2825,eficacia,nf,"efficiency, effectiveness",A-3
2826,detectar,v,detect,A-2
2827,vapor,nm,"vapor, steam",A-1-a
2828,bebida,nf,"drink, beverage",B-2
2829,autorizar,v,"authorize, legalize",A-2
2830,charla,nf,"talk, chat",B-2
2831,gestión,nf,"management, step, negotiation",B-2
2832,afrontar,v,"face, confront",B-2
2833,existente,adj,existing,A-2
2834,cartera,nf,"wallet, satchel",B-2
2835,inclinado,adj,"inclined, slanting",A-2
2836,restar,v,"subtract, minimize",A-3
2837,circulación,nf,"circulation, traffic",A-2
2838,denuncia,nf,accusation,A-3
2839,concretar,v,"materialize, fulfill",A-2
2840,picar,v,"bite, sting, itch",B-2
2841,tormenta,nf,storm,A-3
2842,metálico,adj,metallic,A-2
2843,foco,nm,focus,A-2
2844,residencia,nf,residence,A-2
2845,espectacular,adj,spectacular,A-2
2846,jurar,v,"swear, take an oath",B-2
2847,rezar,v,"pray, recite",B-2
2848,cuero,nm,"leather, skin",B-2
2849,misterioso,adj,mysterious,A-2
2850,hierba,nf,"herb, grass, weed",A-1-a
2851,obrero,adj,working class,B-2
2852,administrativo,adj,administrative,A-2
2853,manzana,nf,"apple, (city) block",B-2
2854,singular,adj,"single, singular",A-1-a
2855,pedazo,nm,"piece, bit",B-2
2856,sabiduría,nf,"wisdom, knowledge",B-2
2857,inducir,v,lead to,A-2
2858,cigarrillo,nm,cigarette,B-2
2859,encantar,v,be very pleasing to,B-2
2860,crudo,adj,"raw, crude, natural",A-1-b
2861,agotado,adj,"tired, used up, sold out",B-2
2862,deportivo,adj,"sports, sporty",A-2
2863,magnitud,nf,"magnitude, extent",A-2
2864,químico,adj,chemical,A-2
2865,botón,nm,button,B-2
2866,teórico,adj,theoretical,A-2
2867,igualdad,nf,equality,A-2
2868,privar,v,deprive (of),B-2
2869,deducir,v,"deduce, infer",A-2
2870,redactar,v,"edit, write, compose",B-2
2871,noción,nf,"notion, idea",A-2
2872,planear,v,plan,B-2
2873,abrazar,v,"hug, embrace",B-2
2874,tolerar,v,"tolerate, put up with",A-2
2875,semilla,nf,seed,B-2
2876,avenida,nf,avenue,B-2
2877,descartar,v,"discard, reject, rule out",B-2
2878,diablo,nm,devil,A-3
2879,sujetar,v,"fasten, attach, hold",B-2
2880,hueco,nm,"hole, cavity",B-2
2881,colaborador,nm,collaborator,A-2
2882,capricho,nm,"caprice, whim",B-2
2883,ciudadano,adj,"community, citizen",B-2
2884,prudente,adj,"sensible, prudent",A-2
2885,guitarra,nf,guitar,A-1-a
2886,agencia,nf,"agency, branch",A-2
2887,rabia,nf,rage,B-2
2888,telefónico,adj,telephone,A-2
2889,monumento,nm,monument,A-2
2890,racional,adj,rational,A-2
2891,previamente,adv,previously,A-3
2892,trazar,v,"draw, trace",B-2
2893,correspondencia,nf,"correspondence, connection",A-2
2894,barro,nm,"clay, mud",B-2
2895,fuga,nf,"flight, escape",B-2
2896,presionar,v,"press, pressure",A-2
2897,identificación,nf,identification,A-2
2898,contexto,nm,context,A-1-a
2899,sombrero,nm,"hat, sombrero",B-2
2900,reiterar,v,"reiterate, repeat",A-2
2901,ayudante,nc,"helper, assistant",B-2
2902,indiferente,adj,indifferent,A-2
2903,maniobra,nf,"maneuver, operation",B-2
2904,inesperado,adj,"unexpected, unforeseen",B-2
2905,distraer,v,distract,A-2
2906,prejuicio,nm,prejudice,A-2
2907,tropezar,v,"trip, stumble",B-2
2908,recomendación,nf,recommendation,A-2
2909,francamente,adv,"frankly, openly",B-2
2910,diseñar,v,"design, develop",A-2
2911,proveer,v,provide,A-2
2912,seleccionar,v,select,A-2
2913,convivir,v,coexist,B-2
2914,instinto,nm,instinct,A-2
2915,sincero,adj,sincere,A-2
2916,progresar,v,to progress,A-2
2917,ideológico,adj,ideological,A-2
2918,precaución,nf,"caution, forethought",A-2
2919,robo,nm,"theft, robbery",B-2
2920,cabello,nm,hair,B-2
2921,utilidad,nf,"usefulness, utility",A-2
2922,queja,nf,complaint,B-2
2923,abundar,v,be plentiful,A-3
2924,celo,nm,"jealousy, zeal",A-3
2925,publicidad,nf,"advertising, publicity",A-2
2926,ligado,adj,"linked, joined",B-2
2927,índole,nf,"nature, temperament",B-2
2928,asimilar,v,assimilate,A-2
2929,prolongado,adj,"prolonged, lengthy",A-2
2930,choque,nm,"crash, collision",B-2
2931,tecnología,nf,technology,A-2
2932,tubo,nm,"tube, pipe",A-1-b
2933,sordo,adj,"deaf, dull",B-2
2934,admirable,adj,admirable,A-2
2935,mercancía,nf,"goods, merchandise",A-3
2936,tronco,nm,"trunk, torso",B-2
2937,culto,nm,"worship, cult",A-2
2938,palma,nf,"palm tree, palm",A-1-a
2939,prenda,nf,piece of clothing,B-2
2940,coro,nm,"choir, chorus",B-2
2941,tejer,v,"sew, weave",B-2
2942,túnel,nm,tunnel,A-1-b
2943,cercanía,nf,"nearness, proximity",B-2
2944,proclamar,v,proclaim,A-2
2945,cuchillo,nm,knife,B-2
2946,desprecio,nm,"contempt, disdain",B-2
2947,plástico,nm,plastic,A-2
2948,complejo,nm,complex,A-1-b
2949,plantar,v,plant,A-1-b
2950,naranja,nf,orange (fruit),B-2
2951,derrotar,v,"defeat, beat",B-2
2952,frenar,v,"brake, restrain",B-2
2953,voluntario,adj,"voluntary, volunteer",A-2
2954,adivinar,v,"guess, solve",B-2
2955,cuota,nf,"quota, share, dues",B-2
2956,mosca,nf,fly (insect),B-2
2957,judicial,adj,judicial,A-2
2958,pescar,v,to fish,B-2
2959,doctrina,nf,"doctrine, teachings",A-2
2960,reservado,adj,"reserved, booked",A-2
2961,laguna,nf,lagoon,B-2
2962,distinción,nf,distinction,A-2
2963,tribu,nf,tribe,A-1-b
2964,refugio,nm,"shelter, refuge",A-3
2965,tragar,v,to swallow,B-2
2966,legítimo,adj,legitimate,A-2
2967,flotar,v,"float, flutter",B-2
2968,convencional,adj,conventional,A-2
2969,sacudir,v,"shake, jolt",B-2
2970,gigantesco,adj,"giant, gigantic",A-2
2971,cena,nf,dinner,B-2
2972,incertidumbre,nf,uncertainty,B-2
2973,tierno,adj,"tender, soft",B-2
2974,ligeramente,adv,"slightly, lightly",B-2
2975,aéreo,adj,"aerial, air",A-2
2976,suprimir,v,"suppress, delete",A-2
2977,ahorro,nm,"saving, thrift",B-2
2978,sobrar,v,"be too much, left over",B-2
2979,brotar,v,to sprout,B-2
2980,prisión,nf,"prison, imprisonment",A-2
2981,investigador,nm/f,"researcher, investigator",A-2
2982,técnico,nm/f,technician,A-2
2983,paraíso,nm,paradise,A-2
2984,automático,adj,automatic,A-2
2985,postre,nmf,dessert; a la postre: in the end,B-2
2986,inquieto,adj,"restless, anxious",B-2
2987,helado,adj,"iced, freezing, icy",B-2
2988,plástico,adj,plastic,A-2
2989,alimentación,nf,"feeding, food",A-3
2990,miel,nf,honey,B-2
2991,vulgar,adj,"vulgar, common, banal",A-1-a
2992,desafío,nm,"challenge, provocation",A-3
2993,aeropuerto,nm,airport,A-2
2994,valorar,v,to value,B-2
2995,diferenciar,v,"differentiate, distinguish",A-2
2996,abrigo,nm,"overcoat, shelter",B-2
2997,hábil,adj,"skillful, clever",B-2
2998,veinticuatro,num,twenty-four,B-2
2999,sello,nm,"stamp, seal",B-2
3000,campana,nf,bell,B-2
3001,destacado,adj,"outstanding, leading",B-2
3002,encendido,adj,"turned on, burning",B-2
3003,incidente,nm,incident,A-2
3004,fragmento,nm,"fragment, passage",A-2
3005,plano,adj,"flat, plain, even, level",B-2
3006,compensar,v,"compensate, make up for",A-2
3007,obligatorio,adj,"obligatory, compulsory",A-2
3008,asignar,v,"assign, allocate",A-3
3009,contemporáneo,adj,contemporary,A-2
3010,suscitar,v,"arouse, provoke",B-2
3011,finalizar,v,"end, finalize",A-2
3012,reforzar,v,"reinforce, strengthen",A-3
3013,mina,nf,mine,A-1-b
3014,restaurante,nm,restaurant,A-2
3015,porcentaje,nm,percentage,A-3
3016,conductor,nm/f,"driver, conductor",A-2
3017,contigo,pron,with you,B-1
3018,evolucionar,v,"evolve, develop",A-2
3019,magia,nf,magic,A-2
3020,presidir,v,preside over,A-3
3021,comedor,nm,dining room,B-2
3022,seriedad,nf,seriousness,B-2
3023,gallina,nf,"hen, coward",B-2
3024,espada,nf,sword,A-3
3025,discreto,adj,"discreet, tactful",A-2
3026,excelencia,nf,excellence,A-2
3027,agitar,v,"shake, move",A-3
3028,amoroso,adj,"loving, affectionate",A-2
3029,músculo,nm,muscle,A-2
3030,optimista,adj,optimistic,A-2
3031,persecución,nf,"pursuit, persecution",A-2
3032,imperio,nm,"empire, fortune",A-3
3033,casco,nm,helmet,B-2
3034,pelea,nf,"fight, quarrel",B-2
3035,retorno,nm,return,B-2
3036,oler,v,to smell,B-2
3037,aludir,v,to allude to,A-3
3038,vera,nf,"de veras: really, for real",B-2
3039,delgado,adj,"thin, skinny",B-2
3040,latín,nm,Latin,A-1-a
3041,resumir,v,to summarize,B-2
3042,rutina,nf,routine,A-2
3043,tenso,adj,"tight, tense",A-2
3044,mejora,nf,improvement,B-2
3045,domicilio,nm,"residence, address",A-3
3046,porquería,nf,"filth, junk",B-2
3047,burlar,v,to mock,B-2
3048,susto,nm,"fright, scare",B-2
3049,encajar,v,"insert, fit well",B-2
3050,nadar,v,to swim,B-2
3051,amanecer,nm,"daybreak, dawn",B-2
3052,célula,nf,cell (biology),A-1-b
3053,acelerar,v,"accelerate, speed (up)",A-2
3054,crítico,nm,critic,A-2
3055,inspiración,nf,"inspiration, inhalation",A-2
3056,ladrillo,nm,brick,B-2
3057,proyección,nf,"projection, screening",A-2
3058,desplegar,v,"unfold, deploy",B-2
3059,desembocar,v,"flow, lead into",B-2
3060,lana,nf,wool,B-2
3061,indirecto,adj,indirect,A-2
3062,infierno,nm,"hell, inferno",A-3
3063,aliviar,v,"lighten, relieve, comfort",B-2
3064,acero,nm,steel,B-2
3065,ejecutivo,adj,executive,A-2
3066,cazar,v,to hunt,B-2
3067,ojalá,adv,I hope that,B-2
3068,aplaudir,v,"clap, applaud",A-3
3069,preso,nm,prisoner,B-2
3070,billete,nm,"ticket, bill, note",A-3
3071,motivar,v,"motivate, cause",A-2
3072,descuidar,v,to neglect,B-2
3073,referente,adj,concerning,A-2
3074,tontería,nf,"stupidity, stupid thing",B-2
3075,cauce,nm,"(river) bed, ditch",B-2
3076,ignorancia,nf,ignorance,A-2
3077,acostar,v,put/go to bed,B-2
3078,encanto,nm,"charm, spell",B-2
3079,propiamente,adv,"exactly, properly",A-3
3080,sed,nf,thirst,B-2
3081,escudo,nm,"shield, coat of arms",B-2
3082,muñeca,nf,"doll, wrist",B-2
3083,dotado,adj,"endowed, gifted",B-2
3084,conectar,v,"connect, plug in",A-2
3085,rango,nm,"rank, range",B-2
3086,invento,nm,invention,A-2
3087,arder,v,"burn, glow",B-2
3088,recinto,nm,"grounds, precincts",B-2
3089,tinta,nf,ink,B-2
3090,garganta,nf,"throat, gorge",B-2
3091,viajero,nm,"traveler, passenger",B-2
3092,asesino,nm,"killer, assassin",A-2
3093,rito,nm,"rite, ritual",A-2
3094,atractivo,nm,"attraction, charm",A-2
3095,callado,adj,"quiet, reserved",B-2
3096,frustración,nf,frustration,A-2
3097,flexible,adj,flexible,A-2
3098,cemento,nm,"cement, concrete",A-2
3099,catástrofe,nf,catastrophe,A-2
3100,dulce,nm,"candy, sweets",B-2
3101,recuperación,nf,"recovery, recuperation",A-2
3102,localizar,v,"locate, find, localize",A-2
3103,mediano,adj,"average, medium, ordinary",A-3
3104,almuerzo,nm,lunch,B-2
3105,pacífico,adj,peaceful,A-2
3106,uña,nf,"nail, fingernail, toenail",B-2
3107,contradictorio,adj,contradictory,A-2
3108,excepto,prep,except (for),A-2
3109,herir,v,"wound, hurt",B-2
3110,costo,nm,"price, cost, expense",A-1-b
3111,manifiesto,nm,poner de manifiesto: to show,A-2
3112,mortal,adj,"mortal, lethal, deadly",A-1-a
3113,repetición,nf,repetition,A-2
3114,patrimonio,nm,"patrimony, inheritance",A-3
3115,solemne,adj,solemn,A-2
3116,estatua,nf,statue,A-2
3117,decadencia,nf,"decline, decay",A-3
3118,mudo,adj,"mute, silent",B-2
3119,precipitar,v,"plunge, hurl, rush",A-3
3120,sorprendido,adj,surprised,B-2
3121,excluir,v,"exclude, reject",A-2
3122,enfermero,nm/f,nurse,B-2
3123,psicológico,adj,psychological,A-2
3124,adorar,v,"worship, adore",A-2
3125,aficionado,nm,"fan, devotee",B-2
3126,preferible,adj,preferable,A-2
3127,célebre,adj,"famous, renowned",A-3
3128,agujero,nm,"hole, opening",B-2
3129,beneficiar,v,to benefit,A-2
3130,arroz,nm,rice,B-2
3131,valiente,adj,"brave, courageous, bold",A-3
3132,delicioso,adj,"delicious, delightful, charming",A-2
3133,potente,adj,"potent, powerful",A-2
3134,cerveza,nf,"beer, ale",B-2
3135,escasez,nf,"scarcity, shortage",B-2
3136,ministerio,nm,ministry,A-3
3137,vuestro,adj,your (pl/+fam),B-1
3138,notorio,adj,"notorious, noticeable",A-2
3139,transición,nf,transition,A-2
3140,sexto,adj,sixth,B-2
3141,despreciar,v,"despise, scorn",B-2
3142,negativa,nf,"negative, denial",A-2
3143,falda,nf,skirt,B-2
3144,improvisar,v,to improvise,A-2
3145,emerger,v,"emerge, surface",A-2
3146,clavar,v,to nail,B-2
3147,cantante,nc,singer,B-2
3148,constancia,nf,perseverance,A-2
3149,electrónico,adj,electronic,A-2
3150,anillo,nm,(finger) ring,B-2
3151,balance,nm,"outcome, balance",A-1-b
3152,entendimiento,nm,understanding,B-2
3153,volcar,v,"turn/knock over, empty",B-2
3154,quieto,adj,"still, motionless, calm",A-3
3155,transcurso,nm,"passing, course, lapse",B-2
3156,barrer,v,"sweep, clean out",B-2
3157,desayuno,nm,breakfast,B-2
3158,alfombra,nf,"rug, carpet, mat",B-2
3159,historiador,nm/f,historian,A-2
3160,rogar,v,"implore, pray, ask",B-2
3161,pálido,adj,"pale, ghastly, faded",A-1-b
3162,programar,v,"plan, program",A-2
3163,animado,adj,"excited, lively",A-2
3164,chileno,adj,Chilean,B-2
3165,ficción,nf,fiction,A-2
3166,ensayar,v,to test,B-2
3167,materno,adj,maternal,A-2
3168,jugador,nm,"player, gambler",B-2
3169,cartel,nm,poster,B-2
3170,desconfianza,nf,distrust,B-2
3171,respiración,nf,"respiration, breath",A-2
3172,votar,v,to vote,A-3
3173,caña,nf,"cane, reed",B-2
3174,aislar,v,"isolate, insulate",A-3
3175,soltero,adj,"single, not married",B-2
3176,prisionero,nm,prisoner,A-2
3177,turista,nc,tourist,A-2
3178,abundancia,nf,abundance,A-2
3179,rodar,v,"roll, run, scatter",B-2
3180,asistente,nc,assistant,A-2
3181,vinculado,adj,connected,B-2
3182,queso,nm,cheese,B-2
3183,arriesgar,v,"risk, venture",B-2
3184,indicio,nm,"indication, sign",B-2
3185,colgado,adj,hanging,B-2
3186,bautizar,v,"baptize, christen",A-2
3187,cerro,nm,hill,B-2
3188,desatar,v,"untie, unleash, spark off",B-2
3189,alentar,v,to encourage,B-2
3190,descargar,v,"unleash, unload",B-2
3191,galería,nf,"gallery, balcony",A-2
3192,engaño,nm,"deceit, falsehood, hoax",B-2
3193,enamorar,v,to fall in love,B-2
3194,geográfico,adj,geographical,A-2
3195,continuidad,nf,continuity,A-2
3196,receta,nf,"recipe, prescription",A-3
3197,conveniencia,nf,"convenience, usefulness",A-2
3198,reemplazar,v,to replace,B-2
3199,carencia,nf,"lack, shortage",B-2
3200,cerdo,nm,"pig, sow, slob",B-2
3201,soplar,v,blow (wind),B-2
3202,frágil,adj,"fragile, weak",A-2
3203,empeño,nm,"insistence, determination",B-2
3204,agresión,nf,"aggression, attack",A-2
3205,fortaleza,nf,"fortress, strength",B-2
3206,seriamente,adv,seriously,A-3
3207,balcón,nm,balcony,B-2
3208,observador,nm,observer,A-2
3209,ridículo,adj,"ridiculous, absurd",A-2
3210,renta,nf,income,B-2
3211,justificación,nf,justification,A-2
3212,enfrentamiento,nm,confrontation,B-2
3213,junta,nf,"meeting, conference, seam",B-2
3214,irregular,adj,irregular,A-2
3215,trayectoria,nf,"trajectory, path",A-2
3216,genial,adj,"brilliant, inspired",A-2
3217,indiferencia,nf,indifference,A-2
3218,taza,nf,"cup, bowl",B-2
3219,vínculo,nm,"tie, bond, link",B-2
3220,cuaderno,nm,"notebook, workbook",B-2
3221,gracioso,adj,"funny, charming, amusing",A-3
3222,regir,v,"rule, govern, manage",B-2
3223,intermedio,adj,"interim, intermediate",A-2
3224,bañar,v,"bathe, take a bath",B-2
3225,temporal,adj,temporary,A-2
3226,rozar,v,touch (lightly),B-2
3227,pánico,nm,panic,A-2
3228,distinguido,adj,distinguished,A-2
3229,cañón,nm,"canyon, cannon",A-2
3230,dudoso,adj,"doubtful, dubious",B-2
3231,pollo,nm,chicken,B-2
3232,lamentable,adj,regrettable,A-3
3233,trascendencia,nf,"transcendent nature, significance",A-2
3234,remitir,v,to remit,A-3
3235,interminable,adj,"endless, interminable",A-2
3236,corrupción,nf,corruption,A-2
3237,confesión,nf,"confession, admission",A-2
